zone_name,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
Ground Floor - Zone 3,Partition,Ground Floor - Zone 5,20.945,Project partition,1.639,34.3361,22.5,471.2625,0.13,0.13,180.0,90.0,True,56.552,,61.264,,7934.0
Ground Floor - Zone 3,Wall,Outside,10.502,Best wall,1.774,18.6315,143.164,1503.508,0.04,0.13,180.0,90.0,True,1394.456,,1425.331,,3978.0
Ground Floor - Zone 3,Partition,Ground Floor - Zone 4,38.645,Project partition,1.639,63.3525,22.5,869.5126,0.13,0.13,180.0,90.0,True,104.342,,113.037,,14638.0
Ground Floor - Zone 3,Partition,Ground Floor - Zone 91,100.3,Project partition,1.639,164.4262,22.5,2256.75,0.13,0.13,270.0,90.0,True,270.81,,293.378,,37992.0
Ground Floor - Zone 3,Partition,Ground Floor - Zone 22,30.975,Project partition,1.639,50.7787,22.5,696.9376,0.13,0.13,270.0,90.0,True,83.633,,90.602,,11733.0
Ground Floor - Zone 3,Wall,Outside,53.888,Best wall,1.774,95.6021,143.164,7714.822,0.04,0.13,0.0,90.0,True,7155.249,,7313.68,,20412.0
Ground Floor - Zone 3,Wall,Outside,7.576,Best wall,1.774,13.4405,143.164,1084.61,0.04,0.13,270.0,90.0,True,1005.941,,1028.215,,2870.0
Ground Floor - Zone 3,Ground floor,Ground,235.78,Project ground floor,0.25,58.9301,93.96,22153.89,0.01,0.17,0.0,180.0,True,9613.236,,9703.017,,100474.0
Ground Floor - Zone 3,Glazing,Outside,47.557,SageGlass Climatop Blue No Tint,0.687,32.6717,0.0,0.0,0.061,0.293,90.0,90.0,False,2418.749,**,2418.749,**,0.0
Ground Floor - Zone 3,Glazing,Outside,0.708,SageGlass Climatop Blue No Tint,0.687,0.4864,0.0,0.0,0.061,0.293,180.0,90.0,False,36.009,**,36.009,**,0.0
Ground Floor - Zone 3,Glazing,Outside,16.912,SageGlass Climatop Blue No Tint,0.687,11.6185,0.0,0.0,0.061,0.293,0.0,90.0,False,860.144,**,860.144,**,0.0
Ground Floor - Zone 3,Glazing,Outside,1.274,SageGlass Climatop Blue No Tint,0.687,0.8752,0.0,0.0,0.061,0.293,270.0,90.0,False,64.796,**,64.796,**,0.0
Ground Floor - Zone 4,Infiltration,Outside,,,,24.79,,,,,,,False,0.0,,,,
Ground Floor - Zone 4,Ceiling,First floor - Zone 92,9.282,Project internal floor_Reversed,2.929,27.1858,88.2,818.6724,0.17,0.1,180.0,0.0,True,77.969,,77.969,,3955.0
Ground Floor - Zone 4,Ceiling,First floor - Zone 9,8.991,Project internal floor_Reversed,2.929,26.3335,88.2,793.0063,0.17,0.1,180.0,0.0,True,75.524,,75.524,,3831.0
Ground Floor - Zone 4,Partition,Ground Floor - Zone 6,24.949,Project partition,1.639,40.9,22.5,561.3525,0.13,0.13,180.0,90.0,True,67.362,,72.976,,9450.0
Ground Floor - Zone 4,Partition,Ground Floor - Zone 5,13.29,Project partition,1.639,21.7869,22.5,299.025,0.13,0.13,90.0,90.0,True,35.883,,38.873,,5034.0
Ground Floor - Zone 4,Partition,Ground Floor - Zone 7,16.056,Project partition,1.639,26.3213,22.5,361.26,0.13,0.13,180.0,90.0,True,43.351,,46.964,,6082.0
Ground Floor - Zone 4,Partition,Ground Floor - Zone 91,15.65,Project partition,1.639,25.6557,22.5,352.125,0.13,0.13,270.0,90.0,True,42.255,,45.776,,5928.0
Ground Floor - Zone 4,Partition,Ground Floor - Zone 3,38.645,Project partition,1.639,63.3525,22.5,869.5126,0.13,0.13,0.0,90.0,True,0.0,,0.0,,14638.0
Ground Floor - Zone 4,Wall,Outside,1.785,Best wall,1.774,3.1667,143.164,255.5477,0.04,0.13,90.0,90.0,True,237.012,,242.26,,676.0
Ground Floor - Zone 4,Wall,Outside,1.785,Best wall,1.774,3.1667,143.164,255.5477,0.04,0.13,0.0,90.0,True,237.012,,242.26,,676.0
Ground Floor - Zone 4,Ground floor,Ground,18.275,Project ground floor,0.25,4.5676,93.96,1717.119,0.01,0.17,0.0,180.0,True,745.109,,752.068,,7788.0
Ground Floor - Zone 4,Glazing,Outside,0.575,SageGlass Climatop Blue No Tint,0.687,0.395,0.0,0.0,0.061,0.293,90.0,90.0,False,29.245,**,29.245,**,0.0
Ground Floor - Zone 4,Glazing,Outside,0.575,SageGlass Climatop Blue No Tint,0.687,0.395,0.0,0.0,0.061,0.293,0.0,90.0,False,29.245,**,29.245,**,0.0
Ground Floor - Zone 5,Infiltration,Outside,,,,16.148,,,,,,,False,0.0,,,,
Ground Floor - Zone 5,Ceiling,First floor - Zone 92,5.921,Project internal floor_Reversed,2.929,17.3418,88.2,522.2322,0.17,0.1,180.0,0.0,True,49.736,,49.736,,2523.0
Ground Floor - Zone 5,Ceiling,First floor - Zone 11,15.073,Project internal floor_Reversed,2.929,44.1469,88.2,1329.439,0.17,0.1,180.0,0.0,True,126.613,,126.613,,6423.0
Ground Floor - Zone 5,Partition,Ground Floor - Zone 91,10.03,Project partition,1.639,16.4426,22.5,225.675,0.13,0.13,270.0,90.0,True,27.081,,29.338,,3799.0
Ground Floor - Zone 5,Partition,Ground Floor - Zone 1,64.901,Project partition,1.639,106.3951,22.5,1460.273,0.13,0.13,179.74,90.0,True,0.0,,0.0,,24584.0
Ground Floor - Zone 5,Partition,Ground Floor - Zone 7,15.93,Project partition,1.639,26.1148,22.5,358.425,0.13,0.13,0.0,90.0,True,43.011,,46.595,,6034.0
Ground Floor - Zone 5,Partition,Ground Floor - Zone 6,22.715,Project partition,1.639,37.2377,22.5,511.0876,0.13,0.13,0.0,90.0,True,61.331,,66.441,,8604.0
Ground Floor - Zone 5,Wall,Outside,17.759,Best wall,1.774,31.506,143.164,2542.45,0.04,0.13,0.0,90.0,True,2358.04,,2410.252,,6727.0
Ground Floor - Zone 5,Wall,Outside,37.51,Best wall,1.774,66.5461,143.164,5370.082,0.04,0.13,270.0,90.0,True,4980.578,,5090.857,,14208.0
Ground Floor - Zone 5,Partition,Ground Floor - Zone 6,1.475,Project partition,1.639,2.418,22.5,33.1875,0.13,0.13,270.0,90.0,True,3.983,,4.314,,559.0
Ground Floor - Zone 5,Partition,Ground Floor - Zone 4,13.29,Project partition,1.639,21.7869,22.5,299.025,0.13,0.13,270.0,90.0,True,0.0,,0.0,,5034.0
Ground Floor - Zone 5,Partition,Ground Floor - Zone 3,20.945,Project partition,1.639,34.3361,22.5,471.2625,0.13,0.13,0.0,90.0,True,0.0,,0.0,,7934.0
Ground Floor - Zone 5,Wall,Outside,55.651,Best wall,1.774,98.7298,143.164,7967.22,0.04,0.13,90.0,90.0,True,7389.34,,7552.954,,21080.0
Ground Floor - Zone 5,Wall,Outside,14.042,Best wall,1.774,24.9118,143.164,2010.309,0.04,0.13,180.0,90.0,True,1864.497,,1905.78,,5319.0
Ground Floor - Zone 5,Ground floor,Ground,20.995,Project ground floor,0.25,5.2474,93.96,1972.69,0.01,0.17,0.0,180.0,True,856.01,,864.004,,8947.0
Ground Floor - Zone 5,Glazing,Outside,7.611,SageGlass Climatop Blue No Tint,0.687,5.2288,0.0,0.0,0.061,0.293,0.0,90.0,False,387.096,**,387.096,**,0.0
Ground Floor - Zone 5,Glazing,Outside,15.886,SageGlass Climatop Blue No Tint,0.687,10.9137,0.0,0.0,0.061,0.293,270.0,90.0,False,807.962,**,807.962,**,0.0
