Keyword,Name,Layers,UValue (W/m2K),Trans Light (VT),Trans Total (SHGC),Trans Direct Solar,Cost per surface area (EGP/m2),,,,,,,,,,,
GLAZING ,Project internal glazing,3,2.178,0.738,0.682,0.595,1609.85,,,,,,,,,,,
GLAZING ,SageGlass Climatop Blue No Tint,3,0.687,0.357,0.248,0.192,946.97,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Building Data,,,,,,,,,,,,,,,,,,
Building number of zones:,312,,,,,,,,,,,,,,,,,
Building heated/cooled floor area (m2),17948.18,,,,,,,,,,,,,,,,,
Building volume (m3),97074.29,,,,,,,,,,,,,,,,,
Building external area (m2),30155.8,,,,,,,,,,,,,,,,,
Building area-weighted average U-value (W/m2K),1.137,,,,,,,,,,,,,,,,,
Building external surface area/Volume (m-1),0.311,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity Area Summary,,,,,,,,,,,,,,,,,,
Activity,Area (m2),,,,,,,,,,,,,,,,,
Generic Office Area,17948.18,,,,,,,,,,,,,,,,,
Total,17948.18,,,,,,,,,,,,,,,,,
,Glazing,Outside,0.575,SageGlass Climatop Blue No Tint,0.687,0.395,0,0,0.061,0.293,0,90,FALSE,29.245,**,29.245,**,0
,,,,,,,,,,,,,,1620,,1653.2,,6131.1
Zone,Activity,Floor area (m2),Volume (m3),Heated?,Heating SetPoint Temperature (C),Cooled?,Cooling SetPoint Temperature (C),,,,,,,,,,,
Ground Floor - Zone 5,Generic Office Area,20.995,63.994,TRUE,22,TRUE,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Element,Adjacent condition,Area-Nett (m2),Flow path,U-Value (W/K-m2),U-Value*Area (W/K),Km (KJ/m2-K),Km*Area (KJ/K),SROut (m2-K/W),SRIn (m2-K/W),Orientation (deg E of N),Slope (deg),Heavyweight?,Embodied Carbon (kgCO2),Embodied Carbon Flag,Equivalent CO2 (kgCO2),Equivalent CO2 Flag,Cost of Surface Finish (EGP)
,Infiltration,Outside,N/A,N/A,N/A,16.148,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,0,,,,
,Ceiling,First floor - Zone 92,5.921,Project internal floor_Reversed,2.929,17.3418,88.2,522.2322,0.17,0.1,180,0,TRUE,49.736,,49.736,,"2,523"
,Ceiling,First floor - Zone 11,15.073,Project internal floor_Reversed,2.929,44.1469,88.2,1329.439,0.17,0.1,180,0,TRUE,126.613,,126.613,,"6,423"
,Partition,Ground Floor - Zone 91,10.03,Project partition,1.639,16.4426,22.5,225.675,0.13,0.13,270,90,TRUE,27.081,,29.338,,"3,799"
,Partition,Ground Floor - Zone 1,64.901,Project partition,1.639,106.3951,22.5,1460.273,0.13,0.13,179.74,90,TRUE,0,,0,,"24,584"
,Partition,Ground Floor - Zone 7,15.93,Project partition,1.639,26.1148,22.5,358.425,0.13,0.13,0,90,TRUE,43.011,,46.595,,"6,034"
,Partition,Ground Floor - Zone 6,22.715,Project partition,1.639,37.2377,22.5,511.0876,0.13,0.13,0,90,TRUE,61.331,,66.441,,"8,604"
,Wall,Outside,17.759,Best wall,1.774,31.506,143.164,2542.45,0.04,0.13,0,90,TRUE,2358.04,,2410.252,,"6,727"
,Wall,Outside,37.51,Best wall,1.774,66.5461,143.164,5370.082,0.04,0.13,270,90,TRUE,4980.578,,5090.857,,"14,208"
,Partition,Ground Floor - Zone 6,1.475,Project partition,1.639,2.418,22.5,33.1875,0.13,0.13,270,90,TRUE,3.983,,4.314,,559
,Partition,Ground Floor - Zone 4,13.29,Project partition,1.639,21.7869,22.5,299.025,0.13,0.13,270,90,TRUE,0,,0,,"5,034"
,Partition,Ground Floor - Zone 3,20.945,Project partition,1.639,34.3361,22.5,471.2625,0.13,0.13,0,90,TRUE,0,,0,,"7,934"
,Wall,Outside,55.651,Best wall,1.774,98.7298,143.164,7967.22,0.04,0.13,90,90,TRUE,7389.34,,7552.954,,"21,080"
,Wall,Outside,14.042,Best wall,1.774,24.9118,143.164,2010.309,0.04,0.13,180,90,TRUE,1864.497,,1905.78,,"5,319"
,Ground floor,Ground,20.995,Project ground floor,0.25,5.2474,93.96,1972.69,0.01,0.17,0,180,TRUE,856.01,,864.004,,"8,947"
,Glazing,Outside,7.611,SageGlass Climatop Blue No Tint,0.687,5.2288,0,0,0.061,0.293,0,90,FALSE,387.096,**,387.096,**,0
,Glazing,Outside,15.886,SageGlass Climatop Blue No Tint,0.687,10.9137,0,0,0.061,0.293,270,90,FALSE,807.962,**,807.962,**,0
